userId	geneSymbol	geneName	entrezgene	gLink
Gna12	Gna12	guanine nucleotide binding protein, alpha 12	14673	https://www.ncbi.nlm.nih.gov/gene/?term=14673
Raf1	Raf1	v-raf-leukemia viral oncogene 1	110157	https://www.ncbi.nlm.nih.gov/gene/?term=110157
Chmp1a	Chmp1a	charged multivesicular body protein 1A	234852	https://www.ncbi.nlm.nih.gov/gene/?term=234852
Il12rb1	Il12rb1	interleukin 12 receptor, beta 1	16161	https://www.ncbi.nlm.nih.gov/gene/?term=16161
Ilf2	Ilf2	interleukin enhancer binding factor 2	67781	https://www.ncbi.nlm.nih.gov/gene/?term=67781
Chtop	Chtop	chromatin target of PRMT1	66511	https://www.ncbi.nlm.nih.gov/gene/?term=66511
Nhp2	Nhp2	NHP2 ribonucleoprotein	52530	https://www.ncbi.nlm.nih.gov/gene/?term=52530
Vps9d1	Vps9d1	VPS9 domain containing 1	72325	https://www.ncbi.nlm.nih.gov/gene/?term=72325
Zfp276	Zfp276	zinc finger protein (C2H2 type) 276	57247	https://www.ncbi.nlm.nih.gov/gene/?term=57247
Hpn	Hpn	hepsin	15451	https://www.ncbi.nlm.nih.gov/gene/?term=15451
Sp1	Sp1	trans-acting transcription factor 1	20683	https://www.ncbi.nlm.nih.gov/gene/?term=20683
Mef2d	Mef2d	myocyte enhancer factor 2D	17261	https://www.ncbi.nlm.nih.gov/gene/?term=17261
Npepps	Npepps	aminopeptidase puromycin sensitive	19155	https://www.ncbi.nlm.nih.gov/gene/?term=19155
Gstt1	Gstt1	glutathione S-transferase, theta 1	14871	https://www.ncbi.nlm.nih.gov/gene/?term=14871
Gstt3	Gstt3	glutathione S-transferase, theta 3	103140	https://www.ncbi.nlm.nih.gov/gene/?term=103140
Ddt	Ddt	D-dopachrome tautomerase	13202	https://www.ncbi.nlm.nih.gov/gene/?term=13202
Tat	Tat	tyrosine aminotransferase	234724	https://www.ncbi.nlm.nih.gov/gene/?term=234724
Pwp1	Pwp1	PWP1 homolog, endonuclein	103136	https://www.ncbi.nlm.nih.gov/gene/?term=103136
Ugp2	Ugp2	UDP-glucose pyrophosphorylase 2	216558	https://www.ncbi.nlm.nih.gov/gene/?term=216558
Nfix	Nfix	nuclear factor I/X	18032	https://www.ncbi.nlm.nih.gov/gene/?term=18032
Rab34	Rab34	RAB34, member RAS oncogene family	19376	https://www.ncbi.nlm.nih.gov/gene/?term=19376
Daxx	Daxx	Fas death domain-associated protein	13163	https://www.ncbi.nlm.nih.gov/gene/?term=13163
Cd320	Cd320	CD320 antigen	54219	https://www.ncbi.nlm.nih.gov/gene/?term=54219
Dyrk1b	Dyrk1b	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b	13549	https://www.ncbi.nlm.nih.gov/gene/?term=13549
Rpl3l	Rpl3l	ribosomal protein L3-like	66211	https://www.ncbi.nlm.nih.gov/gene/?term=66211
Uck1	Uck1	uridine-cytidine kinase 1	22245	https://www.ncbi.nlm.nih.gov/gene/?term=22245
Mien1	Mien1	migration and invasion enhancer 1	103742	https://www.ncbi.nlm.nih.gov/gene/?term=103742
Pon1	Pon1	paraoxonase 1	18979	https://www.ncbi.nlm.nih.gov/gene/?term=18979
Pex6	Pex6	peroxisomal biogenesis factor 6	224824	https://www.ncbi.nlm.nih.gov/gene/?term=224824
Arrdc2	Arrdc2	arrestin domain containing 2	70807	https://www.ncbi.nlm.nih.gov/gene/?term=70807
Ap1m1	Ap1m1	adaptor-related protein complex AP-1, mu subunit 1	11767	https://www.ncbi.nlm.nih.gov/gene/?term=11767
Fam32a	Fam32a	family with sequence similarity 32, member A	67922	https://www.ncbi.nlm.nih.gov/gene/?term=67922
Mpnd	Mpnd	MPN domain containing	68047	https://www.ncbi.nlm.nih.gov/gene/?term=68047
Btbd2	Btbd2	BTB (POZ) domain containing 2	208198	https://www.ncbi.nlm.nih.gov/gene/?term=208198
Abhd17a	Abhd17a	abhydrolase domain containing 17A	216169	https://www.ncbi.nlm.nih.gov/gene/?term=216169
Pih1d1	Pih1d1	PIH1 domain containing 1	68845	https://www.ncbi.nlm.nih.gov/gene/?term=68845
Rps11	Rps11	ribosomal protein S11	27207	https://www.ncbi.nlm.nih.gov/gene/?term=27207
Rnf215	Rnf215	ring finger protein 215	71673	https://www.ncbi.nlm.nih.gov/gene/?term=71673
Sec14l2	Sec14l2	SEC14-like lipid binding 2	67815	https://www.ncbi.nlm.nih.gov/gene/?term=67815
Crot	Crot	carnitine O-octanoyltransferase	74114	https://www.ncbi.nlm.nih.gov/gene/?term=74114
Taf6l	Taf6l	TATA-box binding protein associated factor 6 like	225895	https://www.ncbi.nlm.nih.gov/gene/?term=225895
Gcdh	Gcdh	glutaryl-Coenzyme A dehydrogenase	270076	https://www.ncbi.nlm.nih.gov/gene/?term=270076
Dnase2a	Dnase2a	deoxyribonuclease II alpha	13423	https://www.ncbi.nlm.nih.gov/gene/?term=13423
Syce2	Syce2	synaptonemal complex central element protein 2	71846	https://www.ncbi.nlm.nih.gov/gene/?term=71846
Stat5a	Stat5a	signal transducer and activator of transcription 5A	20850	https://www.ncbi.nlm.nih.gov/gene/?term=20850
Hmox2	Hmox2	heme oxygenase 2	15369	https://www.ncbi.nlm.nih.gov/gene/?term=15369
Map3k20	Map3k20	mitogen-activated protein kinase kinase kinase 20	65964	https://www.ncbi.nlm.nih.gov/gene/?term=65964
Ppan	Ppan	peter pan homolog	235036	https://www.ncbi.nlm.nih.gov/gene/?term=235036
Trmt10a	Trmt10a	tRNA methyltransferase 10A	108943	https://www.ncbi.nlm.nih.gov/gene/?term=108943
Kifc2	Kifc2	kinesin family member C2	16581	https://www.ncbi.nlm.nih.gov/gene/?term=16581
Clcn3	Clcn3	chloride channel, voltage-sensitive 3	12725	https://www.ncbi.nlm.nih.gov/gene/?term=12725
Ppp1cc	Ppp1cc	protein phosphatase 1 catalytic subunit gamma	19047	https://www.ncbi.nlm.nih.gov/gene/?term=19047
Zfp324	Zfp324	zinc finger protein 324	243834	https://www.ncbi.nlm.nih.gov/gene/?term=243834
Ndrg2	Ndrg2	N-myc downstream regulated gene 2	29811	https://www.ncbi.nlm.nih.gov/gene/?term=29811
Mtfp1	Mtfp1	mitochondrial fission process 1	67900	https://www.ncbi.nlm.nih.gov/gene/?term=67900
