chr	start	end	ID
chr1	4927400	4927610	PROK_LIV_1_4927400_4927610
chr1	13657370	13657810	PROK_LIV_1_13657370_13657810
chr1	23340010	23340380	PROK_LIV_1_23340010_23340380
chr1	23340400	23340800	PROK_LIV_1_23340400_23340800
chr1	23343430	23343710	PROK_LIV_1_23343430_23343710
chr1	30810390	30810560	PROK_LIV_1_30810390_30810560
chr1	36388920	36389200	PROK_LIV_1_36388920_36389200
chr1	36407500	36407630	PROK_LIV_1_36407500_36407630
chr1	36640710	36640950	PROK_LIV_1_36640710_36640950
chr1	36821370	36821550	PROK_LIV_1_36821370_36821550
chr1	39364380	39364720	PROK_LIV_1_39364380_39364720
chr1	39407510	39407750	PROK_LIV_1_39407510_39407750
chr1	39407770	39408250	PROK_LIV_1_39407770_39408250
chr1	39484670	39485250	PROK_LIV_1_39484670_39485250
chr1	39587760	39588240	PROK_LIV_1_39587760_39588240
chr1	40351010	40351300	PROK_LIV_1_40351010_40351300
chr1	46453470	46453810	PROK_LIV_1_46453470_46453810
chr1	46454310	46454730	PROK_LIV_1_46454310_46454730
chr1	47192500	47192900	PROK_LIV_1_47192500_47192900
chr1	47696640	47697220	PROK_LIV_1_47696640_47697220
chr1	48546390	48546870	PROK_LIV_1_48546390_48546870
chr1	51779910	51780600	PROK_LIV_1_51779910_51780600
chr1	51895460	51895680	PROK_LIV_1_51895460_51895680
chr1	55046240	55046510	PROK_LIV_1_55046240_55046510
chr1	55092140	55092350	PROK_LIV_1_55092140_55092350
chr1	55125910	55126410	PROK_LIV_1_55125910_55126410
chr1	55130030	55130630	PROK_LIV_1_55130030_55130630
chr1	58131500	58132130	PROK_LIV_1_58131500_58132130
chr1	58462840	58463040	PROK_LIV_1_58462840_58463040
chr1	60636060	60636430	PROK_LIV_1_60636060_60636430
chr1	60699220	60699360	PROK_LIV_1_60699220_60699360
chr1	60701240	60701470	PROK_LIV_1_60701240_60701470
chr1	60701840	60702090	PROK_LIV_1_60701840_60702090
chr1	60743650	60744000	PROK_LIV_1_60743650_60744000
chr1	66103150	66103830	PROK_LIV_1_66103150_66103830
chr1	66888560	66888700	PROK_LIV_1_66888560_66888700
chr1	67101170	67101230	PROK_LIV_1_67101170_67101230
chr1	67141700	67142000	PROK_LIV_1_67141700_67142000
chr1	67152440	67153160	PROK_LIV_1_67152440_67153160
chr1	67153180	67153370	PROK_LIV_1_67153180_67153370
chr1	72172580	72172790	PROK_LIV_1_72172580_72172790
chr1	72249450	72249830	PROK_LIV_1_72249450_72249830
chr1	72275500	72275730	PROK_LIV_1_72275500_72275730
chr1	72276380	72276560	PROK_LIV_1_72276380_72276560
chr1	72282850	72283200	PROK_LIV_1_72282850_72283200
chr1	72293390	72293600	PROK_LIV_1_72293390_72293600
