#erna_AL_master_LIV Stitched Peaks
#Created from output/6h_FAST_deduped/erna_AL_master_LIV_12.5KB_STITCHED_REGION_MAP.txt
#Ranked by X6h_FAST_deduped.BAM
#Using cutoff of 18689.877 for Super-Stitched Peaks
#Created on Jan 19 2023 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X6h_FAST_deduped.BAM	stitchedPeakRank	isSuper
20_enhancer_lociStitched	chr15	76579330	76609330	20	7170	333236.4	1	1
20_enhancer_lociStitched	chr1	74402620	74443950	20	8410	333236.4	2	1
20_enhancer_lociStitched	chr11	100705160	100751670	20	7680	333236.4	3	1
20_enhancer_lociStitched	chr11	120506310	120524730	20	6890	332404.475	4	1
20_enhancer_lociStitched	chr11	75328730	75360530	20	8000	332404.475	5	1
23_enhancer_lociStitched	chr9	107510210	107554020	23	9873	331661.673	6	1
23_enhancer_lociStitched	chr11	101532140	101576140	23	7853	330227.417	7	1
14_enhancer_lociStitched	chr15	3244630	3281540	14	7434	318412.175	8	1
30_enhancer_lociStitched	chr15	85580760	85672150	30	15140	315744.955	9	1
34_enhancer_lociStitched	chr19	4035220	4147950	34	15794	306799.38	10	1
34_enhancer_lociStitched	chr13	23682070	23777480	34	14154	293226.555	11	1
29_enhancer_lociStitched	chr13	23867540	23947960	29	14549	257878.584	12	1
34_enhancer_lociStitched	chr15	58848280	58956830	34	18124	253546.573	13	1
34_enhancer_lociStitched	chr15	82262520	82355620	34	15314	239063.415	14	1
27_enhancer_lociStitched	chr5	139310600	139376100	27	11697	237392.453	15	1
16_enhancer_lociStitched	chr4	60217980	60245820	16	7516	236043.71	16	1
16_enhancer_lociStitched	chr2	131046510	131077540	16	5526	236043.71	17	1
16_enhancer_lociStitched	chr8	72962380	72994040	16	6976	236043.71	18	1
16_enhancer_lociStitched	chr4	97634100	97668670	16	6696	236043.71	19	1
23_enhancer_lociStitched	chr6	47716770	47765560	23	6233	233906.886	20	1
20_enhancer_lociStitched	chr2	27444940	27490670	20	10230	222808.752	21	1
24_enhancer_lociStitched	chr11	102265980	102324190	24	9164	217955.051	22	1
29_enhancer_lociStitched	chr3	137926910	138012830	29	13189	212897.728	23	1
20_enhancer_lociStitched	chr11	68949830	68991120	20	7070	209336.902	24	1
18_enhancer_lociStitched	chr6	124880420	124908590	18	8118	208816.452	25	1
20_enhancer_lociStitched	chr10	76924920	76962940	20	9090	207935.189	26	1
20_enhancer_lociStitched	chr10	87692360	87763340	20	11350	207935.189	27	1
22_enhancer_lociStitched	chr7	19398740	19433480	22	9582	206465.844	28	1
22_enhancer_lociStitched	chr10	121298800	121349160	22	9472	206465.844	29	1
23_enhancer_lociStitched	chr2	164260370	164303030	23	9883	205758.131	30	1
23_enhancer_lociStitched	chr3	89169760	89215900	23	10703	205758.131	31	1
23_enhancer_lociStitched	chr3	121634080	121709190	23	9163	205758.131	32	1
23_enhancer_lociStitched	chr11	101206500	101282300	23	9593	202153.214	33	1
28_enhancer_lociStitched	chr7	126772280	126896610	28	11188	200990.156	34	1
20_enhancer_lociStitched	chr5	125511070	125575810	20	8500	200534.88	35	1
20_enhancer_lociStitched	chr7	80036030	80073280	20	7470	198798.927	36	1
20_enhancer_lociStitched	chr11	57852970	57901840	20	7680	198394.698	37	1
20_enhancer_lociStitched	chr17	56562870	56610450	20	7140	198196.596	38	1
23_enhancer_lociStitched	chr17	71130140	71180730	23	7853	198118.84	39	1
20_enhancer_lociStitched	chr3	82907790	82962890	20	9650	194778.65	40	1
23_enhancer_lociStitched	chr5	87071500	87161180	23	11723	193326.258	41	1
14_enhancer_lociStitched	chr18	21053840	21079740	14	7204	193110.964	42	1
12_enhancer_lociStitched	chr10	117544540	117582560	12	5082	191595.961	43	1
14_enhancer_lociStitched	chr11	80031580	80076020	14	5964	190764.036	44	1
23_enhancer_lociStitched	chr6	31065260	31125720	23	10003	189530.376	45	1
20_enhancer_lociStitched	chr12	54742130	54785760	20	7450	188555.586	46	1
23_enhancer_lociStitched	chr2	4922450	5024830	23	9873	187670.546	47	1
20_enhancer_lociStitched	chr9	57571980	57632810	20	9100	187465.605	48	1
