chr	start	end	ID
chr1	4854290	4854940	PROK_LIV_1_4854290_4854940
chr1	4855780	4856140	PROK_LIV_1_4855780_4856140
chr1	4878870	4879290	PROK_LIV_1_4878870_4879290
chr1	6285010	6285320	PROK_LIV_1_6285010_6285320
chr1	7159990	7160300	PROK_LIV_1_7159990_7160300
chr1	7206570	7207080	PROK_LIV_1_7206570_7207080
chr1	9305520	9306200	PROK_LIV_1_9305520_9306200
chr1	9307280	9308070	PROK_LIV_1_9307280_9308070
chr1	9308790	9309210	PROK_LIV_1_9308790_9309210
chr1	9615790	9616020	PROK_LIV_1_9615790_9616020
chr1	9817610	9818160	PROK_LIV_1_9817610_9818160
chr1	10993030	10993590	PROK_LIV_1_10993030_10993590
chr1	13279390	13279750	PROK_LIV_1_13279390_13279750
chr1	13427630	13427860	PROK_LIV_1_13427630_13427860
chr1	13726770	13727070	PROK_LIV_1_13726770_13727070
chr1	13728860	13729230	PROK_LIV_1_13728860_13729230
chr1	13729250	13729530	PROK_LIV_1_13729250_13729530
chr1	13730130	13730570	PROK_LIV_1_13730130_13730570
chr1	13738800	13739090	PROK_LIV_1_13738800_13739090
chr1	15059000	15059160	PROK_LIV_1_15059000_15059160
chr1	15106520	15107040	PROK_LIV_1_15106520_15107040
chr1	15137250	15137410	PROK_LIV_1_15137250_15137410
chr1	16735170	16735560	PROK_LIV_1_16735170_16735560
chr1	21065850	21066090	PROK_LIV_1_21065850_21066090
chr1	21270880	21271020	PROK_LIV_1_21270880_21271020
chr1	21299720	21300070	PROK_LIV_1_21299720_21300070
chr1	21353290	21353910	PROK_LIV_1_21353290_21353910
chr1	21391640	21392280	PROK_LIV_1_21391640_21392280
chr1	21398550	21399300	PROK_LIV_1_21398550_21399300
chr1	21762830	21763170	PROK_LIV_1_21762830_21763170
chr1	23422020	23422690	PROK_LIV_1_23422020_23422690
chr1	24633050	24633280	PROK_LIV_1_24633050_24633280
chr1	24738480	24739110	PROK_LIV_1_24738480_24739110
chr1	24773290	24773610	PROK_LIV_1_24773290_24773610
chr1	25054030	25054600	PROK_LIV_1_25054030_25054600
chr1	25055710	25056250	PROK_LIV_1_25055710_25056250
chr1	25057900	25058350	PROK_LIV_1_25057900_25058350
chr1	26630440	26630760	PROK_LIV_1_26630440_26630760
chr1	28329940	28330300	PROK_LIV_1_28329940_28330300
chr1	30272080	30272390	PROK_LIV_1_30272080_30272390
chr1	30810580	30811030	PROK_LIV_1_30810580_30811030
chr1	30989600	30989880	PROK_LIV_1_30989600_30989880
chr1	31133520	31133860	PROK_LIV_1_31133520_31133860
chr1	31135110	31136080	PROK_LIV_1_31135110_31136080
chr1	32112830	32113180	PROK_LIV_1_32112830_32113180
chr1	32113200	32113580	PROK_LIV_1_32113200_32113580
chr1	33708760	33709030	PROK_LIV_1_33708760_33709030
chr1	34275280	34275760	PROK_LIV_1_34275280_34275760
chr1	34275780	34276040	PROK_LIV_1_34275780_34276040
chr1	34312060	34312300	PROK_LIV_1_34312060_34312300
chr1	36137610	36137830	PROK_LIV_1_36137610_36137830
chr1	36235560	36235830	PROK_LIV_1_36235560_36235830
chr1	36283060	36283660	PROK_LIV_1_36283060_36283660
chr1	36407040	36407480	PROK_LIV_1_36407040_36407480
chr1	36407500	36407630	PROK_LIV_1_36407500_36407630
chr1	36730750	36730930	PROK_LIV_1_36730750_36730930
chr1	36748920	36749340	PROK_LIV_1_36748920_36749340
chr1	37468710	37468940	PROK_LIV_1_37468710_37468940
chr1	37929300	37929740	PROK_LIV_1_37929300_37929740
chr1	39407510	39407750	PROK_LIV_1_39407510_39407750
chr1	39407770	39408250	PROK_LIV_1_39407770_39408250
chr1	39464500	39465220	PROK_LIV_1_39464500_39465220
chr1	39472780	39473220	PROK_LIV_1_39472780_39473220
chr1	39473240	39473630	PROK_LIV_1_39473240_39473630
chr1	39473650	39473870	PROK_LIV_1_39473650_39473870
chr1	39473890	39474200	PROK_LIV_1_39473890_39474200
chr1	39484670	39485250	PROK_LIV_1_39484670_39485250
chr1	39497270	39497680	PROK_LIV_1_39497270_39497680
chr1	39516920	39517390	PROK_LIV_1_39516920_39517390
chr1	39517410	39517650	PROK_LIV_1_39517410_39517650
chr1	39587440	39587740	PROK_LIV_1_39587440_39587740
chr1	39635480	39635990	PROK_LIV_1_39635480_39635990
chr1	40275870	40276460	PROK_LIV_1_40275870_40276460
chr1	40282150	40282520	PROK_LIV_1_40282150_40282520
chr1	43132360	43132700	PROK_LIV_1_43132360_43132700
chr1	43866800	43867300	PROK_LIV_1_43866800_43867300
chr1	44186700	44187200	PROK_LIV_1_44186700_44187200
chr1	45962440	45962770	PROK_LIV_1_45962440_45962770
chr1	46312900	46313160	PROK_LIV_1_46312900_46313160
chr1	46892260	46892420	PROK_LIV_1_46892260_46892420
chr1	47192500	47192900	PROK_LIV_1_47192500_47192900
chr1	47696640	47697220	PROK_LIV_1_47696640_47697220
chr1	48546390	48546870	PROK_LIV_1_48546390_48546870
chr1	51013900	51014150	PROK_LIV_1_51013900_51014150
chr1	54584350	54584740	PROK_LIV_1_54584350_54584740
